10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.0304 evaluated in 910ms
1 Accuracy: 0.8373, trained in 18520ms, evaluated in 1026ms
2 Accuracy: 0.9027, trained in 20384ms, evaluated in 1040ms
3 Accuracy: 0.9247, trained in 20364ms, evaluated in 1042ms
4 Accuracy: 0.9255, trained in 20382ms, evaluated in 1053ms
5 Accuracy: 0.9263, trained in 15462ms, evaluated in 1061ms
6 Accuracy: 0.9327, trained in 18500ms, evaluated in 711ms
7 Accuracy: 0.1015, trained in 12254ms, evaluated in 715ms
8 Accuracy: 0.1032, trained in 12307ms, evaluated in 709ms
9 Accuracy: 0.0897, trained in 15493ms, evaluated in 1065ms
10 Accuracy: 0.098, trained in 16930ms, evaluated in 761ms
11 Accuracy: 0.1135, trained in 18829ms, evaluated in 1068ms
12 Accuracy: 0.1032, trained in 18126ms, evaluated in 1069ms
13 Accuracy: 0.1009, trained in 18438ms, evaluated in 974ms
14 Accuracy: 0.101, trained in 19567ms, evaluated in 730ms
15 Accuracy: 0.0982, trained in 18035ms, evaluated in 941ms
16 Accuracy: 0.1009, trained in 16007ms, evaluated in 1067ms
17 Accuracy: 0.101, trained in 17488ms, evaluated in 1035ms
18 Accuracy: 0.0958, trained in 17592ms, evaluated in 1077ms
19 Accuracy: 0.1135, trained in 16959ms, evaluated in 727ms
20 Accuracy: 0.0892, trained in 17951ms, evaluated in 1068ms
21 Accuracy: 0.098, trained in 18480ms, evaluated in 733ms
22 Accuracy: 0.1028, trained in 18043ms, evaluated in 1056ms
23 Accuracy: 0.1009, trained in 14797ms, evaluated in 1043ms
24 Accuracy: 0.101, trained in 16920ms, evaluated in 728ms
25 Accuracy: 0.1033, trained in 15495ms, evaluated in 1063ms
26 Accuracy: 0.1135, trained in 17272ms, evaluated in 907ms
27 Accuracy: 0.0974, trained in 17488ms, evaluated in 729ms
28 Accuracy: 0.0982, trained in 17919ms, evaluated in 719ms
29 Accuracy: 0.098, trained in 14920ms, evaluated in 728ms
30 Accuracy: 0.0958, trained in 19076ms, evaluated in 762ms
31 Accuracy: 0.1028, trained in 13909ms, evaluated in 866ms
32 Accuracy: 0.1135, trained in 12610ms, evaluated in 739ms
33 Accuracy: 0.0974, trained in 12745ms, evaluated in 748ms
