10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.0942 evaluated in 1047ms
1 Accuracy: 0.8856, trained in 16867ms, evaluated in 683ms
2 Accuracy: 0.9083, trained in 17309ms, evaluated in 987ms
3 Accuracy: 0.918, trained in 16535ms, evaluated in 1022ms
4 Accuracy: 0.9288, trained in 17705ms, evaluated in 713ms
5 Accuracy: 0.9197, trained in 12210ms, evaluated in 714ms
6 Accuracy: 0.9134, trained in 19336ms, evaluated in 713ms
7 Accuracy: 0.916, trained in 15830ms, evaluated in 938ms
8 Accuracy: 0.8992, trained in 12676ms, evaluated in 713ms
9 Accuracy: 0.9223, trained in 12304ms, evaluated in 796ms
10 Accuracy: 0.9144, trained in 16440ms, evaluated in 899ms
11 Accuracy: 0.9112, trained in 17688ms, evaluated in 749ms
12 Accuracy: 0.9218, trained in 18277ms, evaluated in 742ms
13 Accuracy: 0.922, trained in 18392ms, evaluated in 1034ms
14 Accuracy: 0.8489, trained in 18906ms, evaluated in 728ms
15 Accuracy: 0.8758, trained in 19615ms, evaluated in 1077ms
16 Accuracy: 0.8448, trained in 15331ms, evaluated in 1089ms
17 Accuracy: 0.8714, trained in 18766ms, evaluated in 1058ms
18 Accuracy: 0.8613, trained in 20479ms, evaluated in 856ms
19 Accuracy: 0.8572, trained in 17614ms, evaluated in 735ms
20 Accuracy: 0.843, trained in 15632ms, evaluated in 1089ms
21 Accuracy: 0.8579, trained in 18851ms, evaluated in 960ms
22 Accuracy: 0.8484, trained in 19175ms, evaluated in 1076ms
23 Accuracy: 0.8612, trained in 16245ms, evaluated in 760ms
24 Accuracy: 0.8584, trained in 18588ms, evaluated in 1081ms
25 Accuracy: 0.8686, trained in 20962ms, evaluated in 1073ms
26 Accuracy: 0.9258, trained in 16447ms, evaluated in 1037ms
27 Accuracy: 0.9302, trained in 19853ms, evaluated in 1034ms
28 Accuracy: 0.9279, trained in 18892ms, evaluated in 1041ms
29 Accuracy: 0.9253, trained in 16681ms, evaluated in 743ms
30 Accuracy: 0.6628, trained in 14961ms, evaluated in 761ms
