10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1369 evaluated in 1050ms
1 Accuracy: 0.1009, trained in 16388ms, evaluated in 965ms
2 Accuracy: 0.1027, trained in 16393ms, evaluated in 759ms
3 Accuracy: 0.1009, trained in 14360ms, evaluated in 710ms
4 Accuracy: 0.1032, trained in 12696ms, evaluated in 727ms
5 Accuracy: 0.1135, trained in 12593ms, evaluated in 1045ms
6 Accuracy: 0.098, trained in 19749ms, evaluated in 1064ms
7 Accuracy: 0.0982, trained in 18228ms, evaluated in 721ms
8 Accuracy: 0.101, trained in 19353ms, evaluated in 1077ms
9 Accuracy: 0.1028, trained in 20875ms, evaluated in 1084ms
10 Accuracy: 0.1033, trained in 19250ms, evaluated in 725ms
11 Accuracy: 0.1028, trained in 16403ms, evaluated in 745ms
12 Accuracy: 0.1009, trained in 15048ms, evaluated in 1083ms
13 Accuracy: 0.0958, trained in 13872ms, evaluated in 742ms
14 Accuracy: 0.1135, trained in 17314ms, evaluated in 899ms
15 Accuracy: 0.1028, trained in 18215ms, evaluated in 1082ms
16 Accuracy: 0.0892, trained in 13730ms, evaluated in 746ms
17 Accuracy: 0.1135, trained in 14582ms, evaluated in 747ms
18 Accuracy: 0.1028, trained in 18892ms, evaluated in 772ms
19 Accuracy: 0.1032, trained in 17144ms, evaluated in 1094ms
20 Accuracy: 0.0982, trained in 18635ms, evaluated in 1088ms
21 Accuracy: 0.1009, trained in 15596ms, evaluated in 798ms
22 Accuracy: 0.1028, trained in 18185ms, evaluated in 800ms
23 Accuracy: 0.1135, trained in 15821ms, evaluated in 944ms
24 Accuracy: 0.0974, trained in 19448ms, evaluated in 1065ms
25 Accuracy: 0.1135, trained in 16620ms, evaluated in 757ms
26 Accuracy: 0.0892, trained in 17300ms, evaluated in 772ms
27 Accuracy: 0.101, trained in 16704ms, evaluated in 1084ms
28 Accuracy: 0.0892, trained in 18912ms, evaluated in 743ms
29 Accuracy: 0.0974, trained in 12847ms, evaluated in 737ms
30 Accuracy: 0.101, trained in 16114ms, evaluated in 1092ms
31 Accuracy: 0.0958, trained in 16578ms, evaluated in 752ms
32 Accuracy: 0.0974, trained in 12791ms, evaluated in 752ms
33 Accuracy: 0.1135, trained in 19553ms, evaluated in 1109ms
34 Accuracy: 0.1135, trained in 20568ms, evaluated in 736ms
35 Accuracy: 0.1009, trained in 17215ms, evaluated in 747ms
36 Accuracy: 0.098, trained in 20722ms, evaluated in 1104ms
37 Accuracy: 0.1032, trained in 15130ms, evaluated in 747ms
38 Accuracy: 0.1135, trained in 12852ms, evaluated in 734ms
39 Accuracy: 0.1135, trained in 12803ms, evaluated in 1027ms
40 Accuracy: 0.1032, trained in 18561ms, evaluated in 1041ms
41 Accuracy: 0.1135, trained in 15960ms, evaluated in 937ms
42 Accuracy: 0.0958, trained in 17412ms, evaluated in 740ms
43 Accuracy: 0.101, trained in 16169ms, evaluated in 1089ms
44 Accuracy: 0.1032, trained in 16729ms, evaluated in 1087ms
45 Accuracy: 0.1032, trained in 18221ms, evaluated in 1097ms
46 Accuracy: 0.0974, trained in 16930ms, evaluated in 732ms
47 Accuracy: 0.0982, trained in 13743ms, evaluated in 744ms
48 Accuracy: 0.101, trained in 18042ms, evaluated in 1046ms
49 Accuracy: 0.0958, trained in 20231ms, evaluated in 1092ms
50 Accuracy: 0.1135, trained in 20187ms, evaluated in 735ms
51 Accuracy: 0.0982, trained in 13777ms, evaluated in 774ms
52 Accuracy: 0.1135, trained in 14811ms, evaluated in 788ms
53 Accuracy: 0.1028, trained in 19092ms, evaluated in 1059ms
54 Accuracy: 0.1135, trained in 14676ms, evaluated in 744ms
55 Accuracy: 0.1135, trained in 16479ms, evaluated in 761ms
56 Accuracy: 0.101, trained in 13163ms, evaluated in 1086ms
57 Accuracy: 0.0982, trained in 18680ms, evaluated in 1085ms
58 Accuracy: 0.1009, trained in 17388ms, evaluated in 747ms
59 Accuracy: 0.0958, trained in 16249ms, evaluated in 825ms
60 Accuracy: 0.0892, trained in 19355ms, evaluated in 1106ms
61 Accuracy: 0.101, trained in 17016ms, evaluated in 1085ms
62 Accuracy: 0.1028, trained in 18129ms, evaluated in 999ms
63 Accuracy: 0.0958, trained in 17802ms, evaluated in 741ms
64 Accuracy: 0.101, trained in 14247ms, evaluated in 1087ms
65 Accuracy: 0.1009, trained in 19199ms, evaluated in 1087ms
66 Accuracy: 0.1135, trained in 14855ms, evaluated in 741ms
67 Accuracy: 0.1135, trained in 18551ms, evaluated in 985ms
68 Accuracy: 0.1135, trained in 20646ms, evaluated in 1102ms
69 Accuracy: 0.1009, trained in 18240ms, evaluated in 1079ms
70 Accuracy: 0.101, trained in 18290ms, evaluated in 1048ms
