10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.087 evaluated in 678ms
1 Accuracy: 0.4744, trained in 15800ms, evaluated in 1039ms
2 Accuracy: 0.4725, trained in 13481ms, evaluated in 700ms
3 Accuracy: 0.4849, trained in 16465ms, evaluated in 1035ms
4 Accuracy: 0.4839, trained in 19021ms, evaluated in 1004ms
5 Accuracy: 0.49, trained in 17561ms, evaluated in 1016ms
6 Accuracy: 0.7179, trained in 18015ms, evaluated in 1008ms
7 Accuracy: 0.7585, trained in 17939ms, evaluated in 720ms
8 Accuracy: 0.8282, trained in 16834ms, evaluated in 871ms
9 Accuracy: 0.8644, trained in 18749ms, evaluated in 1070ms
10 Accuracy: 0.879, trained in 13156ms, evaluated in 981ms
11 Accuracy: 0.8813, trained in 19988ms, evaluated in 899ms
12 Accuracy: 0.8815, trained in 13818ms, evaluated in 718ms
13 Accuracy: 0.8924, trained in 18301ms, evaluated in 739ms
14 Accuracy: 0.8924, trained in 18523ms, evaluated in 914ms
15 Accuracy: 0.8932, trained in 18379ms, evaluated in 1055ms
16 Accuracy: 0.8941, trained in 17972ms, evaluated in 1069ms
17 Accuracy: 0.9021, trained in 17337ms, evaluated in 752ms
18 Accuracy: 0.8983, trained in 17967ms, evaluated in 735ms
19 Accuracy: 0.9034, trained in 16802ms, evaluated in 854ms
20 Accuracy: 0.896, trained in 20045ms, evaluated in 1077ms
21 Accuracy: 0.8989, trained in 17778ms, evaluated in 1060ms
22 Accuracy: 0.8989, trained in 17274ms, evaluated in 1074ms
23 Accuracy: 0.9104, trained in 18291ms, evaluated in 1045ms
24 Accuracy: 0.9152, trained in 18243ms, evaluated in 766ms
25 Accuracy: 0.9103, trained in 16674ms, evaluated in 1065ms
26 Accuracy: 0.8994, trained in 19246ms, evaluated in 803ms
27 Accuracy: 0.9051, trained in 17832ms, evaluated in 735ms
28 Accuracy: 0.9078, trained in 17158ms, evaluated in 732ms
29 Accuracy: 0.9101, trained in 16954ms, evaluated in 725ms
30 Accuracy: 0.8943, trained in 15168ms, evaluated in 1074ms
31 Accuracy: 0.9061, trained in 19967ms, evaluated in 911ms
32 Accuracy: 0.9038, trained in 19650ms, evaluated in 766ms
33 Accuracy: 0.8879, trained in 18790ms, evaluated in 1088ms
34 Accuracy: 0.9079, trained in 16035ms, evaluated in 1096ms
35 Accuracy: 0.9041, trained in 15771ms, evaluated in 1076ms
36 Accuracy: 0.8996, trained in 19707ms, evaluated in 725ms
37 Accuracy: 0.9032, trained in 20394ms, evaluated in 1080ms
38 Accuracy: 0.8773, trained in 18180ms, evaluated in 851ms
39 Accuracy: 0.9036, trained in 15217ms, evaluated in 733ms
40 Accuracy: 0.8971, trained in 16671ms, evaluated in 1078ms
41 Accuracy: 0.8971, trained in 16285ms, evaluated in 1076ms
42 Accuracy: 0.8936, trained in 18199ms, evaluated in 720ms
43 Accuracy: 0.903, trained in 18900ms, evaluated in 1081ms
44 Accuracy: 0.8838, trained in 17955ms, evaluated in 1027ms
45 Accuracy: 0.8945, trained in 14885ms, evaluated in 1011ms
46 Accuracy: 0.8986, trained in 17616ms, evaluated in 735ms
47 Accuracy: 0.8952, trained in 15299ms, evaluated in 1028ms
48 Accuracy: 0.9006, trained in 12568ms, evaluated in 731ms
49 Accuracy: 0.8865, trained in 17426ms, evaluated in 1080ms
50 Accuracy: 0.9007, trained in 16685ms, evaluated in 1092ms
51 Accuracy: 0.8867, trained in 20967ms, evaluated in 748ms
52 Accuracy: 0.8905, trained in 18075ms, evaluated in 1088ms
53 Accuracy: 0.8993, trained in 18321ms, evaluated in 1044ms
54 Accuracy: 0.8725, trained in 17780ms, evaluated in 773ms
55 Accuracy: 0.9031, trained in 19064ms, evaluated in 864ms
56 Accuracy: 0.9007, trained in 18228ms, evaluated in 742ms
57 Accuracy: 0.8979, trained in 12542ms, evaluated in 739ms
58 Accuracy: 0.9031, trained in 17379ms, evaluated in 728ms
59 Accuracy: 0.9029, trained in 12886ms, evaluated in 1040ms
60 Accuracy: 0.9094, trained in 19481ms, evaluated in 836ms
61 Accuracy: 0.9092, trained in 16558ms, evaluated in 726ms
62 Accuracy: 0.9046, trained in 16033ms, evaluated in 775ms
63 Accuracy: 0.9079, trained in 15458ms, evaluated in 1069ms
64 Accuracy: 0.906, trained in 18680ms, evaluated in 855ms
65 Accuracy: 0.9087, trained in 18549ms, evaluated in 732ms
66 Accuracy: 0.9108, trained in 12542ms, evaluated in 722ms
67 Accuracy: 0.9082, trained in 12571ms, evaluated in 732ms
68 Accuracy: 0.911, trained in 12520ms, evaluated in 738ms
69 Accuracy: 0.9109, trained in 20560ms, evaluated in 1086ms
70 Accuracy: 0.9116, trained in 18273ms, evaluated in 726ms
71 Accuracy: 0.9058, trained in 13733ms, evaluated in 1051ms
72 Accuracy: 0.9097, trained in 19442ms, evaluated in 741ms
73 Accuracy: 0.9104, trained in 16506ms, evaluated in 912ms
74 Accuracy: 0.9117, trained in 16706ms, evaluated in 1072ms
75 Accuracy: 0.9067, trained in 19153ms, evaluated in 734ms
76 Accuracy: 0.9076, trained in 15401ms, evaluated in 735ms
77 Accuracy: 0.9071, trained in 15438ms, evaluated in 1081ms
78 Accuracy: 0.9071, trained in 17185ms, evaluated in 734ms
79 Accuracy: 0.9077, trained in 17462ms, evaluated in 1074ms
80 Accuracy: 0.9098, trained in 19508ms, evaluated in 838ms
81 Accuracy: 0.9074, trained in 12441ms, evaluated in 737ms
82 Accuracy: 0.9083, trained in 16254ms, evaluated in 730ms
83 Accuracy: 0.906, trained in 13466ms, evaluated in 741ms
84 Accuracy: 0.9097, trained in 13749ms, evaluated in 855ms
85 Accuracy: 0.9016, trained in 15557ms, evaluated in 814ms
86 Accuracy: 0.901, trained in 16386ms, evaluated in 739ms
87 Accuracy: 0.8952, trained in 16029ms, evaluated in 741ms
88 Accuracy: 0.9062, trained in 15822ms, evaluated in 998ms
89 Accuracy: 0.9065, trained in 18101ms, evaluated in 1084ms
90 Accuracy: 0.9009, trained in 14568ms, evaluated in 1048ms
91 Accuracy: 0.8958, trained in 19875ms, evaluated in 834ms
92 Accuracy: 0.9031, trained in 20153ms, evaluated in 1075ms
93 Accuracy: 0.9018, trained in 13864ms, evaluated in 743ms
94 Accuracy: 0.9011, trained in 15846ms, evaluated in 1052ms
95 Accuracy: 0.8896, trained in 17959ms, evaluated in 1079ms
96 Accuracy: 0.8628, trained in 18195ms, evaluated in 730ms
97 Accuracy: 0.8945, trained in 18309ms, evaluated in 1097ms
98 Accuracy: 0.8963, trained in 15715ms, evaluated in 1083ms
99 Accuracy: 0.8938, trained in 16089ms, evaluated in 723ms
100 Accuracy: 0.8961, trained in 16696ms, evaluated in 1080ms
101 Accuracy: 0.8966, trained in 19394ms, evaluated in 1078ms
102 Accuracy: 0.8956, trained in 17104ms, evaluated in 734ms
103 Accuracy: 0.8916, trained in 19979ms, evaluated in 1090ms
104 Accuracy: 0.8853, trained in 16313ms, evaluated in 739ms
105 Accuracy: 0.8957, trained in 15073ms, evaluated in 1102ms
106 Accuracy: 0.9014, trained in 16850ms, evaluated in 741ms
107 Accuracy: 0.893, trained in 12624ms, evaluated in 740ms
108 Accuracy: 0.902, trained in 15925ms, evaluated in 906ms
109 Accuracy: 0.9032, trained in 12505ms, evaluated in 731ms
110 Accuracy: 0.9053, trained in 17402ms, evaluated in 1056ms
111 Accuracy: 0.9055, trained in 17420ms, evaluated in 737ms
