10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.101 evaluated in 937ms
1 Accuracy: 0.8819, trained in 15921ms, evaluated in 936ms
2 Accuracy: 0.9034, trained in 18814ms, evaluated in 997ms
3 Accuracy: 0.9086, trained in 17468ms, evaluated in 958ms
4 Accuracy: 0.9011, trained in 15516ms, evaluated in 1031ms
5 Accuracy: 0.9057, trained in 12883ms, evaluated in 728ms
6 Accuracy: 0.9102, trained in 13373ms, evaluated in 720ms
7 Accuracy: 0.9004, trained in 12335ms, evaluated in 719ms
8 Accuracy: 0.8958, trained in 15574ms, evaluated in 1060ms
9 Accuracy: 0.8925, trained in 16370ms, evaluated in 1055ms
10 Accuracy: 0.9064, trained in 18798ms, evaluated in 1068ms
11 Accuracy: 0.9064, trained in 17564ms, evaluated in 727ms
12 Accuracy: 0.9074, trained in 16923ms, evaluated in 1075ms
13 Accuracy: 0.9123, trained in 17555ms, evaluated in 1059ms
14 Accuracy: 0.9103, trained in 16592ms, evaluated in 723ms
15 Accuracy: 0.9133, trained in 14694ms, evaluated in 1071ms
16 Accuracy: 0.9123, trained in 14388ms, evaluated in 1064ms
17 Accuracy: 0.9095, trained in 18527ms, evaluated in 737ms
18 Accuracy: 0.9137, trained in 18095ms, evaluated in 1037ms
19 Accuracy: 0.9115, trained in 12990ms, evaluated in 744ms
20 Accuracy: 0.9119, trained in 13663ms, evaluated in 733ms
21 Accuracy: 0.9032, trained in 12476ms, evaluated in 729ms
22 Accuracy: 0.9071, trained in 13488ms, evaluated in 778ms
23 Accuracy: 0.8701, trained in 14204ms, evaluated in 1050ms
24 Accuracy: 0.9138, trained in 20418ms, evaluated in 1081ms
25 Accuracy: 0.9129, trained in 20935ms, evaluated in 1084ms
26 Accuracy: 0.8997, trained in 13658ms, evaluated in 735ms
27 Accuracy: 0.9024, trained in 12963ms, evaluated in 1074ms
28 Accuracy: 0.9047, trained in 16224ms, evaluated in 1043ms
29 Accuracy: 0.9034, trained in 19104ms, evaluated in 1080ms
30 Accuracy: 0.9087, trained in 19234ms, evaluated in 735ms
31 Accuracy: 0.8818, trained in 17711ms, evaluated in 823ms
32 Accuracy: 0.9064, trained in 16119ms, evaluated in 903ms
33 Accuracy: 0.9017, trained in 17020ms, evaluated in 753ms
34 Accuracy: 0.8654, trained in 19824ms, evaluated in 1079ms
35 Accuracy: 0.876, trained in 17068ms, evaluated in 783ms
36 Accuracy: 0.8893, trained in 14509ms, evaluated in 750ms
37 Accuracy: 0.8847, trained in 15982ms, evaluated in 740ms
38 Accuracy: 0.8865, trained in 16013ms, evaluated in 745ms
39 Accuracy: 0.8907, trained in 18486ms, evaluated in 1088ms
40 Accuracy: 0.8977, trained in 19694ms, evaluated in 1080ms
41 Accuracy: 0.8789, trained in 18148ms, evaluated in 743ms
42 Accuracy: 0.852, trained in 18614ms, evaluated in 731ms
43 Accuracy: 0.8678, trained in 17304ms, evaluated in 895ms
44 Accuracy: 0.8982, trained in 15892ms, evaluated in 736ms
45 Accuracy: 0.8995, trained in 18391ms, evaluated in 736ms
46 Accuracy: 0.8927, trained in 15237ms, evaluated in 826ms
47 Accuracy: 0.9065, trained in 17432ms, evaluated in 990ms
48 Accuracy: 0.9101, trained in 17104ms, evaluated in 1095ms
49 Accuracy: 0.8921, trained in 19499ms, evaluated in 745ms
50 Accuracy: 0.9033, trained in 16019ms, evaluated in 921ms
51 Accuracy: 0.9036, trained in 18563ms, evaluated in 1090ms
52 Accuracy: 0.8831, trained in 18510ms, evaluated in 1059ms
53 Accuracy: 0.898, trained in 12899ms, evaluated in 745ms
54 Accuracy: 0.9071, trained in 16823ms, evaluated in 923ms
55 Accuracy: 0.8899, trained in 17942ms, evaluated in 740ms
56 Accuracy: 0.8931, trained in 20836ms, evaluated in 1093ms
57 Accuracy: 0.8947, trained in 17695ms, evaluated in 755ms
58 Accuracy: 0.8973, trained in 18953ms, evaluated in 1058ms
59 Accuracy: 0.8978, trained in 19364ms, evaluated in 842ms
60 Accuracy: 0.9087, trained in 15326ms, evaluated in 1087ms
61 Accuracy: 0.8728, trained in 17705ms, evaluated in 739ms
62 Accuracy: 0.9037, trained in 15534ms, evaluated in 1046ms
63 Accuracy: 0.9028, trained in 19455ms, evaluated in 897ms
64 Accuracy: 0.895, trained in 17817ms, evaluated in 752ms
65 Accuracy: 0.8874, trained in 16139ms, evaluated in 968ms
66 Accuracy: 0.9006, trained in 17116ms, evaluated in 889ms
67 Accuracy: 0.8203, trained in 15482ms, evaluated in 754ms
68 Accuracy: 0.8945, trained in 20771ms, evaluated in 1022ms
69 Accuracy: 0.8961, trained in 19660ms, evaluated in 1093ms
70 Accuracy: 0.8821, trained in 19565ms, evaluated in 1101ms
71 Accuracy: 0.8951, trained in 15127ms, evaluated in 1090ms
72 Accuracy: 0.4674, trained in 18545ms, evaluated in 1017ms
73 Accuracy: 0.5339, trained in 18078ms, evaluated in 727ms
74 Accuracy: 0.6051, trained in 13691ms, evaluated in 725ms
75 Accuracy: 0.6075, trained in 12526ms, evaluated in 723ms
76 Accuracy: 0.6224, trained in 12803ms, evaluated in 720ms
77 Accuracy: 0.6042, trained in 15384ms, evaluated in 906ms
78 Accuracy: 0.6101, trained in 16516ms, evaluated in 1036ms
79 Accuracy: 0.6223, trained in 15588ms, evaluated in 1031ms
80 Accuracy: 0.6121, trained in 17426ms, evaluated in 1079ms
81 Accuracy: 0.5982, trained in 18256ms, evaluated in 734ms
82 Accuracy: 0.5933, trained in 18789ms, evaluated in 933ms
83 Accuracy: 0.6533, trained in 13248ms, evaluated in 1014ms
84 Accuracy: 0.6513, trained in 17599ms, evaluated in 1054ms
85 Accuracy: 0.6676, trained in 16466ms, evaluated in 970ms
86 Accuracy: 0.6621, trained in 20321ms, evaluated in 1085ms
87 Accuracy: 0.6616, trained in 16415ms, evaluated in 938ms
88 Accuracy: 0.6673, trained in 18997ms, evaluated in 753ms
89 Accuracy: 0.6686, trained in 14720ms, evaluated in 744ms
90 Accuracy: 0.6523, trained in 17800ms, evaluated in 744ms
91 Accuracy: 0.6741, trained in 15504ms, evaluated in 727ms
92 Accuracy: 0.6518, trained in 18788ms, evaluated in 1095ms
93 Accuracy: 0.6656, trained in 18269ms, evaluated in 1072ms
94 Accuracy: 0.6769, trained in 18767ms, evaluated in 1086ms
95 Accuracy: 0.6841, trained in 15413ms, evaluated in 724ms
96 Accuracy: 0.6778, trained in 12478ms, evaluated in 960ms
97 Accuracy: 0.6652, trained in 18948ms, evaluated in 1078ms
98 Accuracy: 0.6809, trained in 16214ms, evaluated in 1032ms
99 Accuracy: 0.6635, trained in 18805ms, evaluated in 1002ms
100 Accuracy: 0.6699, trained in 18992ms, evaluated in 1078ms
101 Accuracy: 0.6494, trained in 17740ms, evaluated in 1081ms
102 Accuracy: 0.6705, trained in 16124ms, evaluated in 1089ms
103 Accuracy: 0.6809, trained in 16333ms, evaluated in 773ms
104 Accuracy: 0.6703, trained in 20462ms, evaluated in 756ms
105 Accuracy: 0.6638, trained in 17615ms, evaluated in 847ms
106 Accuracy: 0.6594, trained in 14592ms, evaluated in 755ms
107 Accuracy: 0.6648, trained in 18323ms, evaluated in 1089ms
108 Accuracy: 0.65, trained in 19637ms, evaluated in 736ms
109 Accuracy: 0.6606, trained in 13042ms, evaluated in 731ms
110 Accuracy: 0.6722, trained in 17040ms, evaluated in 740ms
111 Accuracy: 0.6697, trained in 14149ms, evaluated in 735ms
112 Accuracy: 0.6684, trained in 17571ms, evaluated in 1014ms
113 Accuracy: 0.6732, trained in 12888ms, evaluated in 736ms
114 Accuracy: 0.6538, trained in 13345ms, evaluated in 730ms
115 Accuracy: 0.6715, trained in 19392ms, evaluated in 1076ms
116 Accuracy: 0.6627, trained in 17389ms, evaluated in 913ms
117 Accuracy: 0.6773, trained in 17546ms, evaluated in 981ms
118 Accuracy: 0.6722, trained in 18661ms, evaluated in 1083ms
119 Accuracy: 0.663, trained in 17677ms, evaluated in 1079ms
120 Accuracy: 0.6165, trained in 14751ms, evaluated in 728ms
121 Accuracy: 0.664, trained in 14764ms, evaluated in 966ms
122 Accuracy: 0.673, trained in 15447ms, evaluated in 1052ms
123 Accuracy: 0.6658, trained in 20228ms, evaluated in 747ms
124 Accuracy: 0.6675, trained in 17829ms, evaluated in 1083ms
125 Accuracy: 0.6682, trained in 20543ms, evaluated in 808ms
126 Accuracy: 0.6678, trained in 18402ms, evaluated in 756ms
127 Accuracy: 0.6631, trained in 18983ms, evaluated in 739ms
128 Accuracy: 0.6585, trained in 16878ms, evaluated in 760ms
129 Accuracy: 0.6527, trained in 15309ms, evaluated in 731ms
130 Accuracy: 0.6655, trained in 15066ms, evaluated in 1096ms
131 Accuracy: 0.6778, trained in 15947ms, evaluated in 771ms
132 Accuracy: 0.6713, trained in 17886ms, evaluated in 1092ms
133 Accuracy: 0.6548, trained in 14094ms, evaluated in 744ms
134 Accuracy: 0.6577, trained in 17651ms, evaluated in 1086ms
135 Accuracy: 0.6708, trained in 17626ms, evaluated in 853ms
136 Accuracy: 0.6592, trained in 16332ms, evaluated in 1092ms
137 Accuracy: 0.6576, trained in 18451ms, evaluated in 735ms
138 Accuracy: 0.6495, trained in 17319ms, evaluated in 1054ms
139 Accuracy: 0.6728, trained in 19565ms, evaluated in 733ms
140 Accuracy: 0.6628, trained in 17586ms, evaluated in 1064ms
141 Accuracy: 0.6704, trained in 17812ms, evaluated in 727ms
142 Accuracy: 0.6508, trained in 17285ms, evaluated in 1013ms
143 Accuracy: 0.6676, trained in 19002ms, evaluated in 1102ms
144 Accuracy: 0.6708, trained in 17319ms, evaluated in 803ms
145 Accuracy: 0.6735, trained in 19758ms, evaluated in 1078ms
146 Accuracy: 0.6547, trained in 16181ms, evaluated in 1077ms
147 Accuracy: 0.6571, trained in 14879ms, evaluated in 1096ms
148 Accuracy: 0.6688, trained in 16784ms, evaluated in 1089ms
149 Accuracy: 0.6692, trained in 13571ms, evaluated in 739ms
150 Accuracy: 0.656, trained in 17403ms, evaluated in 1083ms
accuracy in training data: 0.653833
general accuracy: 0.656
0.656
