10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1142 evaluated in 997ms
94 Accuracy: 0.8609, trained in 21101ms, evaluated in 1080ms
95 Accuracy: 0.8466, trained in 20397ms, evaluated in 1000ms
96 Accuracy: 0.8521, trained in 17816ms, evaluated in 751ms
97 Accuracy: 0.8651, trained in 17314ms, evaluated in 1088ms
98 Accuracy: 0.8603, trained in 15113ms, evaluated in 741ms
99 Accuracy: 0.864, trained in 17084ms, evaluated in 731ms
100 Accuracy: 0.8558, trained in 12530ms, evaluated in 728ms
101 Accuracy: 0.8636, trained in 17338ms, evaluated in 1079ms
102 Accuracy: 0.8622, trained in 21213ms, evaluated in 1082ms
103 Accuracy: 0.8623, trained in 16957ms, evaluated in 1086ms
104 Accuracy: 0.844, trained in 17552ms, evaluated in 739ms
105 Accuracy: 0.8517, trained in 18269ms, evaluated in 725ms
106 Accuracy: 0.8606, trained in 17535ms, evaluated in 1098ms
107 Accuracy: 0.862, trained in 19351ms, evaluated in 1068ms
108 Accuracy: 0.858, trained in 18767ms, evaluated in 1007ms
109 Accuracy: 0.8601, trained in 19475ms, evaluated in 1087ms
110 Accuracy: 0.842, trained in 17401ms, evaluated in 778ms
111 Accuracy: 0.8157, trained in 20538ms, evaluated in 1104ms
112 Accuracy: 0.8465, trained in 20336ms, evaluated in 1079ms
113 Accuracy: 0.8435, trained in 19918ms, evaluated in 1089ms
114 Accuracy: 0.8552, trained in 21031ms, evaluated in 748ms
115 Accuracy: 0.8428, trained in 19462ms, evaluated in 1040ms
116 Accuracy: 0.8558, trained in 19641ms, evaluated in 1074ms
117 Accuracy: 0.8558, trained in 14028ms, evaluated in 1049ms
118 Accuracy: 0.8569, trained in 20356ms, evaluated in 1098ms
119 Accuracy: 0.8601, trained in 18516ms, evaluated in 739ms
120 Accuracy: 0.845, trained in 19149ms, evaluated in 1080ms
121 Accuracy: 0.841, trained in 19733ms, evaluated in 1094ms
122 Accuracy: 0.8584, trained in 13081ms, evaluated in 741ms
123 Accuracy: 0.8447, trained in 16960ms, evaluated in 1094ms
124 Accuracy: 0.8601, trained in 20783ms, evaluated in 838ms
125 Accuracy: 0.8607, trained in 16013ms, evaluated in 881ms
126 Accuracy: 0.8612, trained in 15301ms, evaluated in 1109ms
127 Accuracy: 0.8592, trained in 15818ms, evaluated in 753ms
128 Accuracy: 0.86, trained in 12774ms, evaluated in 738ms
129 Accuracy: 0.8568, trained in 14177ms, evaluated in 1082ms
130 Accuracy: 0.8583, trained in 20922ms, evaluated in 1064ms
131 Accuracy: 0.8614, trained in 18831ms, evaluated in 1044ms
132 Accuracy: 0.8485, trained in 16505ms, evaluated in 929ms
133 Accuracy: 0.845, trained in 15756ms, evaluated in 764ms
134 Accuracy: 0.8514, trained in 15023ms, evaluated in 994ms
135 Accuracy: 0.8498, trained in 15764ms, evaluated in 735ms
136 Accuracy: 0.8644, trained in 12699ms, evaluated in 743ms
137 Accuracy: 0.8619, trained in 13149ms, evaluated in 748ms
138 Accuracy: 0.8625, trained in 17123ms, evaluated in 1089ms
139 Accuracy: 0.8416, trained in 17873ms, evaluated in 750ms
140 Accuracy: 0.8487, trained in 16446ms, evaluated in 738ms
141 Accuracy: 0.8441, trained in 16873ms, evaluated in 1096ms
142 Accuracy: 0.8495, trained in 19841ms, evaluated in 870ms
143 Accuracy: 0.8477, trained in 16459ms, evaluated in 1048ms
144 Accuracy: 0.8689, trained in 19506ms, evaluated in 838ms
145 Accuracy: 0.8643, trained in 15823ms, evaluated in 1094ms
146 Accuracy: 0.8674, trained in 15036ms, evaluated in 719ms
147 Accuracy: 0.8439, trained in 12329ms, evaluated in 704ms
148 Accuracy: 0.8484, trained in 12033ms, evaluated in 696ms
149 Accuracy: 0.8246, trained in 11893ms, evaluated in 679ms
150 Accuracy: 0.8261, trained in 11662ms, evaluated in 681ms
accuracy in training data: 0.836683
general accuracy: 0.8261
0.8261
