10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.0983 evaluated in 698ms
1 Accuracy: 0.8842, trained in 15935ms, evaluated in 694ms
2 Accuracy: 0.9039, trained in 11958ms, evaluated in 1004ms
3 Accuracy: 0.9079, trained in 20465ms, evaluated in 1044ms
4 Accuracy: 0.9161, trained in 15403ms, evaluated in 778ms
5 Accuracy: 0.9044, trained in 15080ms, evaluated in 748ms
6 Accuracy: 0.8869, trained in 14354ms, evaluated in 1036ms
7 Accuracy: 0.7822, trained in 18320ms, evaluated in 1064ms
8 Accuracy: 0.775, trained in 16167ms, evaluated in 1031ms
9 Accuracy: 0.7465, trained in 17295ms, evaluated in 729ms
10 Accuracy: 0.7658, trained in 18623ms, evaluated in 738ms
11 Accuracy: 0.7695, trained in 15201ms, evaluated in 730ms
12 Accuracy: 0.7761, trained in 12981ms, evaluated in 1073ms
13 Accuracy: 0.7475, trained in 17947ms, evaluated in 1074ms
14 Accuracy: 0.7322, trained in 21021ms, evaluated in 1070ms
15 Accuracy: 0.7422, trained in 21027ms, evaluated in 1078ms
16 Accuracy: 0.7543, trained in 18718ms, evaluated in 740ms
17 Accuracy: 0.7277, trained in 15040ms, evaluated in 1048ms
18 Accuracy: 0.7686, trained in 20845ms, evaluated in 1027ms
19 Accuracy: 0.7822, trained in 18857ms, evaluated in 1069ms
20 Accuracy: 0.7558, trained in 20028ms, evaluated in 1086ms
21 Accuracy: 0.7953, trained in 16916ms, evaluated in 745ms
22 Accuracy: 0.8334, trained in 15870ms, evaluated in 1087ms
23 Accuracy: 0.8375, trained in 20410ms, evaluated in 769ms
24 Accuracy: 0.8447, trained in 18986ms, evaluated in 1038ms
25 Accuracy: 0.8187, trained in 19873ms, evaluated in 1089ms
26 Accuracy: 0.8436, trained in 17800ms, evaluated in 855ms
27 Accuracy: 0.8365, trained in 12881ms, evaluated in 738ms
28 Accuracy: 0.8309, trained in 13608ms, evaluated in 1048ms
29 Accuracy: 0.8356, trained in 19479ms, evaluated in 748ms
30 Accuracy: 0.8452, trained in 19380ms, evaluated in 1081ms
31 Accuracy: 0.8469, trained in 17082ms, evaluated in 984ms
32 Accuracy: 0.8337, trained in 19904ms, evaluated in 1082ms
33 Accuracy: 0.8491, trained in 17527ms, evaluated in 728ms
34 Accuracy: 0.8338, trained in 15179ms, evaluated in 773ms
35 Accuracy: 0.8375, trained in 17073ms, evaluated in 991ms
36 Accuracy: 0.8397, trained in 16173ms, evaluated in 750ms
37 Accuracy: 0.8398, trained in 15792ms, evaluated in 949ms
38 Accuracy: 0.8591, trained in 15719ms, evaluated in 1026ms
39 Accuracy: 0.8595, trained in 16679ms, evaluated in 1114ms
40 Accuracy: 0.856, trained in 20942ms, evaluated in 1092ms
41 Accuracy: 0.8563, trained in 16014ms, evaluated in 894ms
42 Accuracy: 0.8358, trained in 18606ms, evaluated in 1089ms
43 Accuracy: 0.843, trained in 16754ms, evaluated in 745ms
44 Accuracy: 0.8486, trained in 19499ms, evaluated in 1091ms
45 Accuracy: 0.8457, trained in 21099ms, evaluated in 1065ms
46 Accuracy: 0.8446, trained in 14912ms, evaluated in 758ms
47 Accuracy: 0.8435, trained in 14313ms, evaluated in 1090ms
48 Accuracy: 0.8473, trained in 15487ms, evaluated in 748ms
49 Accuracy: 0.8149, trained in 12605ms, evaluated in 733ms
50 Accuracy: 0.8133, trained in 19045ms, evaluated in 735ms
51 Accuracy: 0.7874, trained in 17018ms, evaluated in 1080ms
52 Accuracy: 0.819, trained in 15355ms, evaluated in 768ms
53 Accuracy: 0.8078, trained in 16097ms, evaluated in 736ms
54 Accuracy: 0.8312, trained in 13606ms, evaluated in 742ms
55 Accuracy: 0.8112, trained in 17802ms, evaluated in 749ms
56 Accuracy: 0.8203, trained in 16781ms, evaluated in 744ms
57 Accuracy: 0.819, trained in 17453ms, evaluated in 1015ms
58 Accuracy: 0.8176, trained in 15274ms, evaluated in 1086ms
59 Accuracy: 0.8272, trained in 13207ms, evaluated in 740ms
60 Accuracy: 0.813, trained in 17992ms, evaluated in 732ms
61 Accuracy: 0.7945, trained in 13096ms, evaluated in 737ms
62 Accuracy: 0.8097, trained in 12589ms, evaluated in 737ms
63 Accuracy: 0.7854, trained in 15478ms, evaluated in 756ms
64 Accuracy: 0.7933, trained in 14992ms, evaluated in 739ms
65 Accuracy: 0.7742, trained in 17130ms, evaluated in 1090ms
66 Accuracy: 0.7881, trained in 13930ms, evaluated in 1023ms
67 Accuracy: 0.7866, trained in 13314ms, evaluated in 762ms
68 Accuracy: 0.7706, trained in 18997ms, evaluated in 1099ms
69 Accuracy: 0.7814, trained in 15277ms, evaluated in 1095ms
70 Accuracy: 0.7675, trained in 16548ms, evaluated in 964ms
71 Accuracy: 0.7769, trained in 18377ms, evaluated in 1086ms
72 Accuracy: 0.7769, trained in 20460ms, evaluated in 1087ms
73 Accuracy: 0.7784, trained in 15580ms, evaluated in 772ms
74 Accuracy: 0.78, trained in 19089ms, evaluated in 1093ms
