10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.092 evaluated in 1029ms
1 Accuracy: 0.2052, trained in 19574ms, evaluated in 711ms
2 Accuracy: 0.2078, trained in 12083ms, evaluated in 707ms
3 Accuracy: 0.2071, trained in 14646ms, evaluated in 1053ms
4 Accuracy: 0.2111, trained in 19593ms, evaluated in 1076ms
5 Accuracy: 0.2103, trained in 20709ms, evaluated in 1048ms
6 Accuracy: 0.5086, trained in 15484ms, evaluated in 1057ms
7 Accuracy: 0.765, trained in 19470ms, evaluated in 1047ms
8 Accuracy: 0.848, trained in 20895ms, evaluated in 1062ms
9 Accuracy: 0.8462, trained in 13811ms, evaluated in 708ms
10 Accuracy: 0.8047, trained in 18006ms, evaluated in 723ms
11 Accuracy: 0.8302, trained in 15397ms, evaluated in 1062ms
12 Accuracy: 0.8512, trained in 20219ms, evaluated in 1058ms
13 Accuracy: 0.8625, trained in 18160ms, evaluated in 711ms
14 Accuracy: 0.866, trained in 15522ms, evaluated in 765ms
15 Accuracy: 0.8735, trained in 17047ms, evaluated in 1027ms
16 Accuracy: 0.8852, trained in 16277ms, evaluated in 1061ms
17 Accuracy: 0.8926, trained in 13326ms, evaluated in 715ms
18 Accuracy: 0.8907, trained in 15092ms, evaluated in 1017ms
19 Accuracy: 0.7777, trained in 17387ms, evaluated in 1074ms
20 Accuracy: 0.0958, trained in 20152ms, evaluated in 709ms
21 Accuracy: 0.1032, trained in 17083ms, evaluated in 744ms
22 Accuracy: 0.1028, trained in 18270ms, evaluated in 960ms
23 Accuracy: 0.101, trained in 15103ms, evaluated in 1044ms
24 Accuracy: 0.0982, trained in 17611ms, evaluated in 1051ms
25 Accuracy: 0.101, trained in 20170ms, evaluated in 1045ms
26 Accuracy: 0.101, trained in 18179ms, evaluated in 697ms
27 Accuracy: 0.098, trained in 12391ms, evaluated in 709ms
28 Accuracy: 0.1135, trained in 16526ms, evaluated in 824ms
29 Accuracy: 0.0982, trained in 16910ms, evaluated in 705ms
30 Accuracy: 0.1135, trained in 19002ms, evaluated in 713ms
31 Accuracy: 0.1032, trained in 17732ms, evaluated in 720ms
32 Accuracy: 0.098, trained in 16147ms, evaluated in 712ms
33 Accuracy: 0.0974, trained in 20084ms, evaluated in 1060ms
34 Accuracy: 0.1028, trained in 18359ms, evaluated in 1040ms
35 Accuracy: 0.1135, trained in 16750ms, evaluated in 1065ms
36 Accuracy: 0.0892, trained in 17432ms, evaluated in 1057ms
37 Accuracy: 0.1135, trained in 16731ms, evaluated in 1040ms
38 Accuracy: 0.1135, trained in 20103ms, evaluated in 1063ms
39 Accuracy: 0.101, trained in 17568ms, evaluated in 1021ms
40 Accuracy: 0.0958, trained in 17008ms, evaluated in 1053ms
41 Accuracy: 0.0974, trained in 15567ms, evaluated in 1053ms
42 Accuracy: 0.098, trained in 16986ms, evaluated in 1051ms
43 Accuracy: 0.0982, trained in 18791ms, evaluated in 1009ms
44 Accuracy: 0.1032, trained in 17227ms, evaluated in 1019ms
45 Accuracy: 0.1032, trained in 20466ms, evaluated in 1056ms
46 Accuracy: 0.101, trained in 18873ms, evaluated in 1065ms
47 Accuracy: 0.0982, trained in 15499ms, evaluated in 722ms
48 Accuracy: 0.0982, trained in 17744ms, evaluated in 1061ms
49 Accuracy: 0.0974, trained in 18760ms, evaluated in 1058ms
50 Accuracy: 0.098, trained in 18478ms, evaluated in 716ms
51 Accuracy: 0.101, trained in 12375ms, evaluated in 708ms
52 Accuracy: 0.0974, trained in 15768ms, evaluated in 717ms
53 Accuracy: 0.0958, trained in 14712ms, evaluated in 727ms
54 Accuracy: 0.0958, trained in 12961ms, evaluated in 709ms
55 Accuracy: 0.098, trained in 12912ms, evaluated in 1061ms
56 Accuracy: 0.0982, trained in 20322ms, evaluated in 785ms
57 Accuracy: 0.1028, trained in 19654ms, evaluated in 1061ms
58 Accuracy: 0.098, trained in 18772ms, evaluated in 1071ms
59 Accuracy: 0.098, trained in 19327ms, evaluated in 1007ms
60 Accuracy: 0.1135, trained in 18204ms, evaluated in 1057ms
61 Accuracy: 0.101, trained in 16357ms, evaluated in 737ms
62 Accuracy: 0.0958, trained in 18951ms, evaluated in 1059ms
63 Accuracy: 0.0982, trained in 18536ms, evaluated in 756ms
64 Accuracy: 0.0974, trained in 14494ms, evaluated in 952ms
65 Accuracy: 0.1135, trained in 20852ms, evaluated in 1079ms
66 Accuracy: 0.0974, trained in 13767ms, evaluated in 1011ms
67 Accuracy: 0.1032, trained in 15657ms, evaluated in 710ms
68 Accuracy: 0.0892, trained in 17019ms, evaluated in 1059ms
69 Accuracy: 0.0974, trained in 14047ms, evaluated in 912ms
70 Accuracy: 0.0958, trained in 17662ms, evaluated in 743ms
71 Accuracy: 0.1135, trained in 19571ms, evaluated in 775ms
72 Accuracy: 0.1135, trained in 18586ms, evaluated in 1036ms
73 Accuracy: 0.1135, trained in 15781ms, evaluated in 1059ms
74 Accuracy: 0.101, trained in 18335ms, evaluated in 741ms
75 Accuracy: 0.0974, trained in 16913ms, evaluated in 715ms
76 Accuracy: 0.0974, trained in 17427ms, evaluated in 1054ms
77 Accuracy: 0.1135, trained in 19525ms, evaluated in 1010ms
78 Accuracy: 0.0974, trained in 17953ms, evaluated in 1052ms
79 Accuracy: 0.1028, trained in 19696ms, evaluated in 1055ms
80 Accuracy: 0.101, trained in 19287ms, evaluated in 1048ms
81 Accuracy: 0.0958, trained in 19079ms, evaluated in 1058ms
82 Accuracy: 0.1009, trained in 18937ms, evaluated in 1017ms
83 Accuracy: 0.101, trained in 15686ms, evaluated in 1007ms
84 Accuracy: 0.1028, trained in 15699ms, evaluated in 713ms
85 Accuracy: 0.101, trained in 14717ms, evaluated in 707ms
86 Accuracy: 0.1135, trained in 12413ms, evaluated in 708ms
87 Accuracy: 0.1028, trained in 18721ms, evaluated in 713ms
88 Accuracy: 0.098, trained in 14241ms, evaluated in 712ms
89 Accuracy: 0.1028, trained in 12825ms, evaluated in 1056ms
90 Accuracy: 0.1009, trained in 14651ms, evaluated in 1066ms
91 Accuracy: 0.0958, trained in 14195ms, evaluated in 970ms
92 Accuracy: 0.1009, trained in 17015ms, evaluated in 868ms
93 Accuracy: 0.1009, trained in 19981ms, evaluated in 1042ms
94 Accuracy: 0.1028, trained in 18057ms, evaluated in 712ms
95 Accuracy: 0.0892, trained in 12595ms, evaluated in 713ms
96 Accuracy: 0.101, trained in 12887ms, evaluated in 714ms
97 Accuracy: 0.1009, trained in 14248ms, evaluated in 1047ms
98 Accuracy: 0.0974, trained in 18727ms, evaluated in 809ms
99 Accuracy: 0.0982, trained in 18197ms, evaluated in 1056ms
100 Accuracy: 0.1009, trained in 17470ms, evaluated in 724ms
101 Accuracy: 0.0974, trained in 14840ms, evaluated in 1069ms
102 Accuracy: 0.1135, trained in 19132ms, evaluated in 711ms
103 Accuracy: 0.1135, trained in 14978ms, evaluated in 705ms
104 Accuracy: 0.1135, trained in 16865ms, evaluated in 1057ms
105 Accuracy: 0.1135, trained in 20675ms, evaluated in 1053ms
106 Accuracy: 0.1135, trained in 19733ms, evaluated in 721ms
107 Accuracy: 0.0958, trained in 13785ms, evaluated in 715ms
108 Accuracy: 0.1009, trained in 12503ms, evaluated in 701ms
109 Accuracy: 0.101, trained in 16814ms, evaluated in 1075ms
110 Accuracy: 0.1135, trained in 18354ms, evaluated in 1057ms
111 Accuracy: 0.098, trained in 17763ms, evaluated in 1061ms
112 Accuracy: 0.0958, trained in 20545ms, evaluated in 716ms
113 Accuracy: 0.1135, trained in 13681ms, evaluated in 1064ms
114 Accuracy: 0.0958, trained in 17124ms, evaluated in 1062ms
115 Accuracy: 0.1009, trained in 16832ms, evaluated in 885ms
116 Accuracy: 0.1135, trained in 16815ms, evaluated in 726ms
117 Accuracy: 0.0974, trained in 16268ms, evaluated in 1061ms
118 Accuracy: 0.1032, trained in 18111ms, evaluated in 1022ms
119 Accuracy: 0.1009, trained in 14427ms, evaluated in 1005ms
120 Accuracy: 0.0958, trained in 16144ms, evaluated in 1019ms
121 Accuracy: 0.0958, trained in 13893ms, evaluated in 1075ms
122 Accuracy: 0.1009, trained in 20202ms, evaluated in 704ms
123 Accuracy: 0.1032, trained in 14262ms, evaluated in 737ms
124 Accuracy: 0.098, trained in 14880ms, evaluated in 944ms
125 Accuracy: 0.098, trained in 14920ms, evaluated in 711ms
126 Accuracy: 0.0958, trained in 13502ms, evaluated in 717ms
127 Accuracy: 0.1028, trained in 15455ms, evaluated in 710ms
128 Accuracy: 0.1135, trained in 16008ms, evaluated in 712ms
129 Accuracy: 0.1135, trained in 20128ms, evaluated in 1079ms
130 Accuracy: 0.101, trained in 20287ms, evaluated in 1080ms
131 Accuracy: 0.101, trained in 16488ms, evaluated in 1024ms
132 Accuracy: 0.0982, trained in 14353ms, evaluated in 745ms
133 Accuracy: 0.0958, trained in 17878ms, evaluated in 724ms
134 Accuracy: 0.1028, trained in 19788ms, evaluated in 1058ms
135 Accuracy: 0.1009, trained in 19002ms, evaluated in 1069ms
136 Accuracy: 0.1009, trained in 15822ms, evaluated in 1022ms
137 Accuracy: 0.1135, trained in 17289ms, evaluated in 903ms
138 Accuracy: 0.1135, trained in 15048ms, evaluated in 1078ms
139 Accuracy: 0.1135, trained in 14513ms, evaluated in 720ms
140 Accuracy: 0.1028, trained in 14183ms, evaluated in 711ms
141 Accuracy: 0.0982, trained in 18898ms, evaluated in 1065ms
142 Accuracy: 0.1135, trained in 17253ms, evaluated in 1024ms
143 Accuracy: 0.0974, trained in 15492ms, evaluated in 713ms
144 Accuracy: 0.1028, trained in 16344ms, evaluated in 1065ms
145 Accuracy: 0.1135, trained in 19423ms, evaluated in 1059ms
146 Accuracy: 0.1135, trained in 21032ms, evaluated in 1068ms
147 Accuracy: 0.101, trained in 18280ms, evaluated in 1030ms
148 Accuracy: 0.0958, trained in 14986ms, evaluated in 1080ms
149 Accuracy: 0.1028, trained in 17924ms, evaluated in 946ms
150 Accuracy: 0.1028, trained in 16918ms, evaluated in 709ms
accuracy in training data: 0.104417
general accuracy: 0.1028
0.1028
