10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1031 evaluated in 836ms
1 Accuracy: 0.5966, trained in 16046ms, evaluated in 1046ms
2 Accuracy: 0.6919, trained in 20361ms, evaluated in 1046ms
3 Accuracy: 0.8063, trained in 14647ms, evaluated in 1041ms
4 Accuracy: 0.9008, trained in 20486ms, evaluated in 1052ms
5 Accuracy: 0.8612, trained in 14389ms, evaluated in 709ms
6 Accuracy: 0.8305, trained in 12264ms, evaluated in 711ms
7 Accuracy: 0.7469, trained in 19232ms, evaluated in 862ms
8 Accuracy: 0.7162, trained in 20991ms, evaluated in 1056ms
9 Accuracy: 0.7289, trained in 16756ms, evaluated in 1024ms
10 Accuracy: 0.7597, trained in 18438ms, evaluated in 736ms
11 Accuracy: 0.8228, trained in 18143ms, evaluated in 1031ms
12 Accuracy: 0.8424, trained in 19250ms, evaluated in 714ms
13 Accuracy: 0.8306, trained in 12530ms, evaluated in 734ms
14 Accuracy: 0.7991, trained in 13701ms, evaluated in 710ms
15 Accuracy: 0.8415, trained in 17485ms, evaluated in 1071ms
16 Accuracy: 0.1032, trained in 15667ms, evaluated in 1034ms
17 Accuracy: 0.1135, trained in 16414ms, evaluated in 737ms
18 Accuracy: 0.101, trained in 19325ms, evaluated in 1099ms
19 Accuracy: 0.1135, trained in 17522ms, evaluated in 730ms
20 Accuracy: 0.101, trained in 17426ms, evaluated in 729ms
21 Accuracy: 0.0974, trained in 18232ms, evaluated in 1091ms
22 Accuracy: 0.0982, trained in 17991ms, evaluated in 717ms
23 Accuracy: 0.098, trained in 15196ms, evaluated in 729ms
24 Accuracy: 0.0974, trained in 13078ms, evaluated in 726ms
25 Accuracy: 0.101, trained in 19531ms, evaluated in 1084ms
26 Accuracy: 0.0974, trained in 17755ms, evaluated in 1074ms
27 Accuracy: 0.1135, trained in 18503ms, evaluated in 1077ms
28 Accuracy: 0.1135, trained in 15945ms, evaluated in 1038ms
29 Accuracy: 0.0958, trained in 20002ms, evaluated in 1084ms
30 Accuracy: 0.101, trained in 17948ms, evaluated in 1043ms
31 Accuracy: 0.0974, trained in 17959ms, evaluated in 1085ms
32 Accuracy: 0.1009, trained in 14124ms, evaluated in 1045ms
33 Accuracy: 0.0958, trained in 12534ms, evaluated in 740ms
34 Accuracy: 0.0974, trained in 16490ms, evaluated in 903ms
35 Accuracy: 0.0974, trained in 15398ms, evaluated in 1074ms
36 Accuracy: 0.101, trained in 15755ms, evaluated in 993ms
37 Accuracy: 0.0974, trained in 17742ms, evaluated in 1052ms
