10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.135 evaluated in 704ms
1 Accuracy: 0.8606, trained in 15781ms, evaluated in 698ms
2 Accuracy: 0.8836, trained in 18207ms, evaluated in 1033ms
3 Accuracy: 0.9019, trained in 20273ms, evaluated in 1041ms
4 Accuracy: 0.9045, trained in 12765ms, evaluated in 1064ms
5 Accuracy: 0.9072, trained in 20769ms, evaluated in 1052ms
6 Accuracy: 0.9104, trained in 16048ms, evaluated in 708ms
7 Accuracy: 0.9162, trained in 14701ms, evaluated in 1054ms
8 Accuracy: 0.9134, trained in 20911ms, evaluated in 1047ms
9 Accuracy: 0.91, trained in 15871ms, evaluated in 719ms
10 Accuracy: 0.9041, trained in 13635ms, evaluated in 743ms
11 Accuracy: 0.9135, trained in 20485ms, evaluated in 1027ms
12 Accuracy: 0.9175, trained in 13667ms, evaluated in 717ms
13 Accuracy: 0.9189, trained in 13791ms, evaluated in 718ms
14 Accuracy: 0.918, trained in 16363ms, evaluated in 1059ms
15 Accuracy: 0.9199, trained in 18438ms, evaluated in 1068ms
16 Accuracy: 0.9168, trained in 17168ms, evaluated in 728ms
17 Accuracy: 0.915, trained in 16655ms, evaluated in 724ms
18 Accuracy: 0.9175, trained in 12559ms, evaluated in 728ms
19 Accuracy: 0.9211, trained in 13668ms, evaluated in 1071ms
20 Accuracy: 0.9198, trained in 17791ms, evaluated in 1070ms
21 Accuracy: 0.9179, trained in 17155ms, evaluated in 1079ms
22 Accuracy: 0.9144, trained in 17416ms, evaluated in 749ms
23 Accuracy: 0.9064, trained in 14653ms, evaluated in 1048ms
24 Accuracy: 0.9134, trained in 15264ms, evaluated in 1079ms
25 Accuracy: 0.9161, trained in 20864ms, evaluated in 1075ms
26 Accuracy: 0.9144, trained in 16934ms, evaluated in 910ms
27 Accuracy: 0.9159, trained in 20773ms, evaluated in 1069ms
28 Accuracy: 0.9166, trained in 18133ms, evaluated in 1082ms
29 Accuracy: 0.9141, trained in 14629ms, evaluated in 736ms
30 Accuracy: 0.9198, trained in 16750ms, evaluated in 1038ms
31 Accuracy: 0.9155, trained in 14715ms, evaluated in 728ms
32 Accuracy: 0.9181, trained in 19313ms, evaluated in 1079ms
33 Accuracy: 0.9147, trained in 14395ms, evaluated in 1045ms
34 Accuracy: 0.9154, trained in 15375ms, evaluated in 727ms
35 Accuracy: 0.9173, trained in 18280ms, evaluated in 723ms
36 Accuracy: 0.9195, trained in 17374ms, evaluated in 1083ms
37 Accuracy: 0.9165, trained in 20151ms, evaluated in 1084ms
38 Accuracy: 0.9117, trained in 18569ms, evaluated in 758ms
39 Accuracy: 0.9158, trained in 17170ms, evaluated in 747ms
40 Accuracy: 0.9069, trained in 15564ms, evaluated in 739ms
41 Accuracy: 0.9024, trained in 12591ms, evaluated in 733ms
42 Accuracy: 0.9252, trained in 19190ms, evaluated in 1070ms
43 Accuracy: 0.924, trained in 19496ms, evaluated in 995ms
44 Accuracy: 0.9208, trained in 14674ms, evaluated in 728ms
45 Accuracy: 0.9214, trained in 14064ms, evaluated in 723ms
46 Accuracy: 0.9252, trained in 15266ms, evaluated in 1074ms
47 Accuracy: 0.9213, trained in 18456ms, evaluated in 1073ms
48 Accuracy: 0.9255, trained in 17730ms, evaluated in 1080ms
49 Accuracy: 0.9254, trained in 16099ms, evaluated in 732ms
50 Accuracy: 0.9262, trained in 17617ms, evaluated in 1084ms
51 Accuracy: 0.9194, trained in 18098ms, evaluated in 1080ms
52 Accuracy: 0.9221, trained in 21105ms, evaluated in 1068ms
53 Accuracy: 0.9194, trained in 19276ms, evaluated in 1094ms
54 Accuracy: 0.9251, trained in 18607ms, evaluated in 940ms
55 Accuracy: 0.9275, trained in 20429ms, evaluated in 1053ms
56 Accuracy: 0.9188, trained in 19050ms, evaluated in 748ms
57 Accuracy: 0.9263, trained in 17923ms, evaluated in 751ms
58 Accuracy: 0.9199, trained in 18091ms, evaluated in 786ms
59 Accuracy: 0.9201, trained in 19620ms, evaluated in 725ms
60 Accuracy: 0.9229, trained in 16940ms, evaluated in 723ms
61 Accuracy: 0.9182, trained in 13787ms, evaluated in 730ms
62 Accuracy: 0.9123, trained in 18059ms, evaluated in 1080ms
63 Accuracy: 0.9202, trained in 16548ms, evaluated in 788ms
64 Accuracy: 0.9185, trained in 17893ms, evaluated in 1079ms
65 Accuracy: 0.8939, trained in 15819ms, evaluated in 737ms
66 Accuracy: 0.9213, trained in 16219ms, evaluated in 730ms
67 Accuracy: 0.9187, trained in 13419ms, evaluated in 732ms
68 Accuracy: 0.9205, trained in 18535ms, evaluated in 726ms
69 Accuracy: 0.9137, trained in 15129ms, evaluated in 730ms
70 Accuracy: 0.9211, trained in 13930ms, evaluated in 728ms
71 Accuracy: 0.9005, trained in 14300ms, evaluated in 1076ms
72 Accuracy: 0.9201, trained in 15000ms, evaluated in 970ms
73 Accuracy: 0.9236, trained in 15851ms, evaluated in 1084ms
74 Accuracy: 0.919, trained in 16949ms, evaluated in 1083ms
75 Accuracy: 0.8632, trained in 20319ms, evaluated in 878ms
76 Accuracy: 0.9038, trained in 12891ms, evaluated in 729ms
77 Accuracy: 0.9083, trained in 15373ms, evaluated in 739ms
78 Accuracy: 0.9113, trained in 12801ms, evaluated in 730ms
79 Accuracy: 0.9045, trained in 13900ms, evaluated in 1083ms
80 Accuracy: 0.8386, trained in 19813ms, evaluated in 1079ms
81 Accuracy: 0.8456, trained in 17324ms, evaluated in 727ms
82 Accuracy: 0.9137, trained in 16814ms, evaluated in 1075ms
83 Accuracy: 0.9108, trained in 16971ms, evaluated in 724ms
84 Accuracy: 0.9094, trained in 13426ms, evaluated in 728ms
85 Accuracy: 0.9168, trained in 18679ms, evaluated in 1043ms
86 Accuracy: 0.9123, trained in 13612ms, evaluated in 1079ms
87 Accuracy: 0.9143, trained in 17904ms, evaluated in 724ms
88 Accuracy: 0.9174, trained in 18565ms, evaluated in 1040ms
89 Accuracy: 0.9135, trained in 19104ms, evaluated in 762ms
90 Accuracy: 0.9038, trained in 20626ms, evaluated in 1074ms
91 Accuracy: 0.8989, trained in 15694ms, evaluated in 1057ms
92 Accuracy: 0.8904, trained in 15781ms, evaluated in 743ms
93 Accuracy: 0.9047, trained in 18256ms, evaluated in 902ms
94 Accuracy: 0.9145, trained in 12846ms, evaluated in 723ms
95 Accuracy: 0.9039, trained in 15487ms, evaluated in 1070ms
96 Accuracy: 0.9124, trained in 19493ms, evaluated in 1065ms
97 Accuracy: 0.9173, trained in 19366ms, evaluated in 1074ms
98 Accuracy: 0.9181, trained in 20833ms, evaluated in 926ms
99 Accuracy: 0.9081, trained in 18731ms, evaluated in 1066ms
100 Accuracy: 0.9215, trained in 18843ms, evaluated in 1069ms
101 Accuracy: 0.9188, trained in 19622ms, evaluated in 1060ms
102 Accuracy: 0.9157, trained in 17617ms, evaluated in 724ms
103 Accuracy: 0.9182, trained in 16669ms, evaluated in 741ms
104 Accuracy: 0.9193, trained in 16200ms, evaluated in 1033ms
105 Accuracy: 0.9136, trained in 18966ms, evaluated in 1092ms
106 Accuracy: 0.9215, trained in 17813ms, evaluated in 913ms
107 Accuracy: 0.9212, trained in 15362ms, evaluated in 929ms
108 Accuracy: 0.9172, trained in 18755ms, evaluated in 1075ms
109 Accuracy: 0.9188, trained in 19453ms, evaluated in 1062ms
110 Accuracy: 0.9202, trained in 19199ms, evaluated in 736ms
111 Accuracy: 0.9165, trained in 13077ms, evaluated in 767ms
112 Accuracy: 0.9169, trained in 19366ms, evaluated in 1080ms
113 Accuracy: 0.9193, trained in 19534ms, evaluated in 729ms
114 Accuracy: 0.921, trained in 14715ms, evaluated in 1087ms
115 Accuracy: 0.9224, trained in 14473ms, evaluated in 1085ms
116 Accuracy: 0.9218, trained in 15870ms, evaluated in 894ms
117 Accuracy: 0.9193, trained in 16848ms, evaluated in 733ms
118 Accuracy: 0.9196, trained in 16206ms, evaluated in 1087ms
119 Accuracy: 0.9143, trained in 16596ms, evaluated in 744ms
120 Accuracy: 0.9216, trained in 16783ms, evaluated in 940ms
121 Accuracy: 0.9207, trained in 19337ms, evaluated in 793ms
122 Accuracy: 0.9136, trained in 20141ms, evaluated in 884ms
123 Accuracy: 0.9183, trained in 19760ms, evaluated in 1087ms
124 Accuracy: 0.9103, trained in 21029ms, evaluated in 1086ms
125 Accuracy: 0.9203, trained in 19957ms, evaluated in 760ms
126 Accuracy: 0.9204, trained in 18954ms, evaluated in 1091ms
127 Accuracy: 0.917, trained in 19418ms, evaluated in 763ms
128 Accuracy: 0.9181, trained in 15684ms, evaluated in 806ms
129 Accuracy: 0.9187, trained in 18502ms, evaluated in 739ms
130 Accuracy: 0.9249, trained in 18853ms, evaluated in 1045ms
131 Accuracy: 0.9238, trained in 20478ms, evaluated in 738ms
132 Accuracy: 0.9186, trained in 14355ms, evaluated in 856ms
133 Accuracy: 0.9145, trained in 18920ms, evaluated in 1085ms
134 Accuracy: 0.8491, trained in 14934ms, evaluated in 1089ms
135 Accuracy: 0.8489, trained in 20185ms, evaluated in 906ms
136 Accuracy: 0.852, trained in 15223ms, evaluated in 730ms
137 Accuracy: 0.8499, trained in 13243ms, evaluated in 1085ms
138 Accuracy: 0.8503, trained in 18346ms, evaluated in 1079ms
139 Accuracy: 0.8357, trained in 18170ms, evaluated in 951ms
140 Accuracy: 0.8508, trained in 16697ms, evaluated in 1088ms
141 Accuracy: 0.8513, trained in 20538ms, evaluated in 1087ms
142 Accuracy: 0.8469, trained in 19655ms, evaluated in 1084ms
143 Accuracy: 0.846, trained in 18911ms, evaluated in 1020ms
144 Accuracy: 0.8503, trained in 13940ms, evaluated in 740ms
145 Accuracy: 0.8435, trained in 15150ms, evaluated in 1087ms
146 Accuracy: 0.8492, trained in 19473ms, evaluated in 731ms
147 Accuracy: 0.8325, trained in 17117ms, evaluated in 749ms
148 Accuracy: 0.8504, trained in 15361ms, evaluated in 826ms
149 Accuracy: 0.8468, trained in 17871ms, evaluated in 1067ms
150 Accuracy: 0.8514, trained in 17767ms, evaluated in 702ms
accuracy in training data: 0.854267
general accuracy: 0.8514
0.8514
