10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1009 evaluated in 718ms
1 Accuracy: 0.1029, trained in 11444ms, evaluated in 708ms
2 Accuracy: 0.0982, trained in 11430ms, evaluated in 707ms
3 Accuracy: 0.0982, trained in 11372ms, evaluated in 706ms
4 Accuracy: 0.1135, trained in 11423ms, evaluated in 705ms
5 Accuracy: 0.1135, trained in 11403ms, evaluated in 706ms
6 Accuracy: 0.1032, trained in 11378ms, evaluated in 705ms
7 Accuracy: 0.1009, trained in 11380ms, evaluated in 706ms
8 Accuracy: 0.0958, trained in 11372ms, evaluated in 704ms
9 Accuracy: 0.098, trained in 11380ms, evaluated in 704ms
10 Accuracy: 0.1009, trained in 11380ms, evaluated in 704ms
11 Accuracy: 0.1135, trained in 11376ms, evaluated in 705ms
12 Accuracy: 0.1009, trained in 11385ms, evaluated in 704ms
13 Accuracy: 0.101, trained in 11405ms, evaluated in 709ms
14 Accuracy: 0.1135, trained in 11434ms, evaluated in 710ms
15 
