10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1032 evaluated in 761ms
1 Accuracy: 0.8959, trained in 11718ms, evaluated in 762ms
2 Accuracy: 0.9047, trained in 11776ms, evaluated in 768ms
3 Accuracy: 0.9065, trained in 13139ms, evaluated in 764ms
4 Accuracy: 0.9206, trained in 11759ms, evaluated in 754ms
5 Accuracy: 0.9173, trained in 11792ms, evaluated in 770ms
6 Accuracy: 0.8073, trained in 11769ms, evaluated in 726ms
7 Accuracy: 0.7334, trained in 11642ms, evaluated in 721ms
8 Accuracy: 0.6045, trained in 11630ms, evaluated in 720ms
9 Accuracy: 0.6093, trained in 11522ms, evaluated in 709ms
10 Accuracy: 0.5999, trained in 11452ms, evaluated in 710ms
11 Accuracy: 0.5877, trained in 11446ms, evaluated in 710ms
12 Accuracy: 0.5492, trained in 11437ms, evaluated in 708ms
13 Accuracy: 0.38, trained in 11412ms, evaluated in 707ms
14 Accuracy: 0.3257, trained in 11415ms, evaluated in 706ms
15 Accuracy: 0.4442, trained in 11412ms, evaluated in 707ms
16 Accuracy: 0.3726, trained in 11423ms, evaluated in 710ms
17 Accuracy: 0.39, trained in 11827ms, evaluated in 800ms
18 
