10000 data loaded from mnist_test_normalized.data
60000 data loaded from mnist_train_normalized.data
0 Accuracy: 0.1274 evaluated in 774ms
1 Accuracy: 0.8448, trained in 11984ms, evaluated in 784ms
2 Accuracy: 0.8808, trained in 12046ms, evaluated in 789ms
3 Accuracy: 0.8318, trained in 11977ms, evaluated in 759ms
4 Accuracy: 0.9018, trained in 12097ms, evaluated in 797ms
5 Accuracy: 0.9148, trained in 14818ms, evaluated in 825ms
6 Accuracy: 0.9138, trained in 12277ms, evaluated in 782ms
7 Accuracy: 0.9032, trained in 12106ms, evaluated in 871ms
8 Accuracy: 0.9213, trained in 13048ms, evaluated in 790ms
9 Accuracy: 0.9056, trained in 12052ms, evaluated in 782ms
10 Accuracy: 0.9177, trained in 12009ms, evaluated in 788ms
11 Accuracy: 0.6835, trained in 12099ms, evaluated in 798ms
12 
